Date,GDP (current US$),GDP (constant 2015 US$),GDP growth (annual %),GDP per capita (current US$),GDP per capita (constant 2015 US$),GDP per capita growth (annual %),"GDP, PPP (current international $)","GDP, PPP (constant 2017 international $)",GNI (current US$),GNI (constant 2015 US$),GNI growth (annual %),"Exports of goods and services (BoP, current US$)",Exports of goods and services (constant 2015 US$),Exports of goods and services (annual % growth),"Imports of goods and services (BoP, current US$)",Imports of goods and services (constant 2015 US$),Imports of goods and services (annual % growth),"Inflation, consumer prices (annual %)","External debt stocks, total (DOD, current US$)",External debt (% of GDP),"GDP, PPP Growth (annual %)"
2005,120055291992.938,188427333766.084,6.51877807393943,688.500587937743,1080.6048440507,4.24421504869446,606045329643.402,668907111475.199,117669281992.533,184508497112.526,6.60225707449702,19105000000.0,26426033811.0718,11.7271602709532,29275200000.0,44872498272.6766,39.5268070906826,9.0633273703042,34260045290.9,28.53688889692199,6.518778073939346
2006,137264061106.043,199542632868.623,5.89898444157643,770.843339358325,1120.58544840787,3.69983575192011,661598992531.383,708365837909.72,134597061106.043,195564433930.692,5.99210171411426,20540000000.0,29039756704.9795,9.89071198725469,35098000000.0,53255846864.8495,18.6825982837636,7.92108440058788,37430775913.1,27.269174182587346,5.898984441576527
2007,152385716311.916,209186163704.713,4.83281727691724,837.631537927295,1149.85139196663,2.61166550041693,712316853841.889,742599864508.0,148803716311.916,204174697873.956,4.40277599060556,21946000000.0,29478177960.8731,1.50972771689408,37586000000.0,51088190688.7499,-4.07026890700021,7.59868441050775,42306089047.4,27.76250298998124,4.832817276917178
2008,170077814106.305,212745268527.165,1.70140546555248,914.731489303734,1144.21035656385,-0.49058821358912,738330453500.48,755234499189.925,166154814106.305,207860197709.544,1.80507177136282,25472500000.0,28136306832.2091,-4.55208300338343,47929000000.0,54082931329.1156,5.86190389597255,20.2861210929554,49826301249.0,29.29617922879506,1.7014054655525745
2009,168152775283.032,218769488047.604,2.83165851919782,884.44101417044,1150.67210489208,0.564734298300792,764103819059.257,776620161226.157,163745775283.032,213040725252.087,2.49231339122522,22313000000.0,27190595270.4823,-3.36117873382078,35151430000.0,45480651269.3741,-15.9057208038398,13.6477650639761,56662922386.2,33.69728646513618,2.831658519197755
2010,177165635077.065,222284432535.76,1.60668862898785,911.090444804549,1143.11797784055,-0.656496930742478,785711065124.283,789098029047.005,173883635077.065,218147387789.483,2.39703583967518,28056000000.0,31461601528.9945,15.7076600053279,40016000000.0,47457682449.2966,4.34697200841056,12.938870563489,63124246853.5,35.6300739847441,1.6066886289878735
2011,213587413183.996,228393711033.232,2.74840591749019,1075.45049647803,1150.00283144753,0.602287230228342,824079094442.742,810785645972.131,210570413183.996,225127768468.291,3.1998460992547,31433000000.0,32207932946.0354,2.37219779276995,47151000000.0,47401069502.4159,-0.119291427560057,11.9160927116277,64742561800.2,30.311974303667032,2.7484059174901487
2012,224383620829.57,236403554808.345,3.50703341999964,1109.67911473926,1169.12315814795,1.66263301076835,847094656786.41,839220169540.934,221138620829.57,232993934664.592,3.49408971173146,31374000000.0,27376471679.7505,-15.0008424147555,48902000000.0,45933735328.6892,-3.09557187027593,9.6823518605568,63669520213.6,28.37529761673648,3.5070334199996944
2013,231218567178.979,246796934575.619,4.39645663353076,1126.04126067776,1201.90837064492,2.80425652921821,883375281467.19,876116120354.645,227549567178.979,242903315422.277,4.25306382844275,30043000000.0,31094424977.0794,13.5808344509164,49167000000.0,46765181576.7257,1.81009935744811,7.6921561189957,60087820820.5,25.98745488029424,4.396456633530832
2014,244360888750.807,258333970574.442,4.67470798154832,1173.39245362734,1240.48956090006,3.20999430550945,931730729922.415,917071990560.495,240405888750.807,254160789465.639,4.63454935713443,30594000000.0,30634172682.2439,-1.48017625402235,51141000000.0,46884122910.8658,0.254337372656096,7.18938402847025,64202720545.2,26.2737301674624,4.674707981548298
2015,270556131701.171,270556131701.171,4.73114747532071,1282.44315294243,1282.44315294243,3.38201895160893,981557838891.246,960460018888.771,265957131701.171,265957131701.171,4.64129115286956,28604000000.0,28690885214.612,-6.34352847647898,48622000000.0,46130526984.1145,-1.60735848292197,2.52932817254226,68614186760.2,25.360425701230938,4.731147475320685
2016,313629858859.587,285509054412.112,5.52673584476604,1468.82142077515,1337.12337361832,4.26375395669058,1010729673957.06,1013542107027.34,308284858859.587,280583255170.377,5.49942894016453,26869211000.0,28230882989.2983,-1.60330440093716,51906109000.0,53521494542.4926,16.0218580657517,3.76511916356584,75052145049.5,23.93016574455083,5.5267358447656845
2017,339205615769.187,298164602724.356,4.43262590683975,1567.64098625255,1377.96967429473,3.05478922007623,1058468637040.17,1058468637040.17,334191615769.187,293670645647.982,4.66435192993184,29491440000.0,28928564503.9936,2.47134145595022,64498061000.0,63681812346.2783,18.983621235986,4.08537368032604,91662069234.5,27.022568310564644,4.432625906840415
2018,356128224957.085,316506802375.214,6.15170261099519,1620.74285658945,1440.42539473925,4.53244520613151,1150424987656.53,1123582479821.53,350691224957.085,311586938295.167,6.10081154269038,30774890000.0,31833168126.6598,10.0406075187908,68422877000.0,73701055744.5371,15.7332887195137,5.07805725868917,99223959504.7,27.86186338267822,6.1517026109946915
2019,320909489229.723,324411993155.507,2.49763692943365,1437.16590678288,1452.85157330085,0.862674221586389,1200250216633.59,1151645490770.2,315299489229.723,318627023228.167,2.2594287717961,30670150000.0,36026336917.711,13.1723263432879,57976078000.0,79311127238.9715,7.6119282658312,10.5783618004555,107882935628.6,33.61787022488825,2.497636929433744
2020,300425666773.043,320278700685.871,-1.27408744338709,1322.31503608163,1409.69760074979,-2.97029464978425,1199239503912.45,1136972520179.96,294966666773.043,314294113689.721,-1.35986881920657,27333070000.0,36572283712.5399,1.51541022912183,52097944000.0,75295193453.6972,-5.06351873322131,9.73999313898131,115695344143.7,38.51047261920606,-1.2740874433873728
2021,348262544719.178,341055457917.518,6.48708677384843,1505.01019279429,1473.8648995053,4.55184847596952,1330100745810.55,1210728914158.85,343862544719.179,336575637252.416,7.08938621252442,35565880000.0,38957235169.0623,6.52119915526283,76392127000.0,86202434210.1638,14.4859721532875,9.49621056124979,130433056375.4,37.45250769949288,6.48708677384886
2022,,,,,,,,,,,,38563140000.0,,,75896247000.0,,,19.8738599646653,,,
